~~~~~~~
Average SYN/s in last minute: ,17.13
Total SYN/m: ,941
Average SYN/s in last minute: ,15.68
Total SYN/h: ,60928
Average SYN/s in last hour: ,16.92
Average SYN/m in last hour: ,1015.47
end: ,2023-04-09 20:36:46
duration: ,5:00:11
Total SYNs: ,305172
Average SYN/s: ,16.94
